an orange, oranges, 185
the moon, moons, 2.197e25
a cat, cats, 5000
the atlantic ocean, atlantic oceans, 3.104e23
the pacific ocean, pacific oceans, 6.6e23 
a light bulb, light bulbs, 75
a human brain, human brains, 1200
a human eyeball, human eyeballs, 6.5
a swimming pool, swimming pools, 2.5e9
a penny, pennies, 0.4418
a stomach, stomachs, 1000
a grape, grapes, 5.7
a blue whale, blue whales, 140000000
David Stark, David Starks, 125000
a human heart, human hearts, 310
a soul - according to Duncan MacDougall, souls - according to Duncan MacDougall -, 21
a piece of candy corn, pieces of candy corn, 5.637
an ejaculation, ejaculations, 4
an espresso, espressos, 30
a wheelbarrow load, wheelbarrow loads, 85000
the Hindenburg, Hindenburgs, 2e11
the first Death Star, first Death Stars, 2.14e21
a giant squid eyeball, giant squid eyeballs, 8181
a moose eyeball, moose eyeballs, 33.5
a goat, goats, 60000
a squirrel eyeball, squirrel eyeballs, 0.27
a human tongue, human tongues, 63.3
a walrus, walruses, 1000000
a cuckoo clock, cuckoo clocks, 10000
an SD card, SD cards, 1.613
a bathtub, bathtubs, 151416
a bottle of wine, bottles of wine, 750
all the gold in the world, world gold reserves, 8e9
a breast implant, breast implants, 400
a cantaloupe, cantaloupes, 1500
Lake Mead, Lake Meads, 3.2236e16
a meatball, meatballs, 8.58
a tin of beans, tins of beans, 415
an ostrich egg, ostrich eggs, 1338
a burrito, burritos, 538
a honey bee, honey bees, 0.1
a very large sequoia tree, very large sequoia trees, 1.4869e9
a titanoboa, titanoboas, 1135000
a shipping container, shipping containers, 3.9e7
a ping-pong ball, ping-pong balls, 33.5
a newborn baby, newborn babies, 3500
a Trident submarine, Trident submarines, 1.585e10
a blue whale testicle, blue whale testicles, 68000
a MacBook Air, MacBooks Air, 1273.47
an Airbus A380, Airbus A380s, 13718226000
the submersible Alvin, Alvin subs, 68302
a whale shark, whale sharks, 9091000
a blue whale lung, blue whale lungs, 5000000
a Starbucks tall cup, Starbucks tall cups, 350
a Starbucks grande cup, Starbucks grande cups, 470
a Starbucks venti cup, Starbucks venti cups, 591
a K-cup, K-cups, 62.6
a pencil, pencils, 15
a Ford Excursion, Fords Excursion, 19500000
a marble, marbles, 4
an Allosaurus brain, Allosaurus brains, 169
a Tyrannosaurus brain, Tyrannosaurus brains, 224
a Archaeopteryx brain, Archaeopteryx brains, 1.1
Kim Kardashian, Kim Kardashians, 56245
Tyra Banks, Tyra Banks, 73028
Taylor Swift, Taylor Swifts, 53977
Johnny Depp, Johnny Depps, 78018
Madonna, Madonnas, 52163
Jennifer Lawrence, Jennifer Lawrences, 62596
Daniel Radcliffe, Daniel Radcliffes, 52163
Beyoncé, Beyoncés, 62142
a Space Shuttle rocket booster, Space Shuttle rocket boosters, 492436000
a Space Shuttle external fuel tank, Space Shuttle external fuel tanks, 2599088000
a Saturn V rocket, Saturn V rockets, 8861095000
an Apollo Lunar Module, Apollo Lunar Modules, 6700000
Mercury, Mercurys, 6.083e25
Venus, Venuses, 9.2843e26
the planet Mars, Mars planets, 1.6318e26
the planetoid Ceres, Ceres planetoids, 4.21e23
Jupiter, Jupiters, 1.4313e30
Saturn, Saturns, 8.2713e29
Uranus, Uranuses, 6.833e28
Neptune, Neptunes, 6.254e28
a Kiwi fruit, Kiwi fruits, 76
a Kiwi egg, Kiwi eggs, 450
a Kiwi bird, Kiwi birds, 2800
an average American, average Americans, 82700
an average Kiwi person, average Kiwi people, 81300
a 9mm cartridge, 9mm cartridges, 2.313
Donald Trump, Donald Trumps, 107000
Vladimir Putin, Vladimir Putins, 82000
cow, cows, 650000
bull, bulls, 1150000
parmesan wheel, parmesan wheels, 29791
stick of butter, sticks of butter, 123.904
Nintendo Wii, Nintendo Wiis, 1487.983
PlayStation 4, PlayStation 4s, 17926.629
elephant brain, elephant brains, 5000
bathtub, bathtubs, 416395
deck of playing cards, decks of playing cards, 85.129
bee hummingbird, bee hummingbirds, 3.5
etruscan shrew, etruscan shrews, 1.8
male African elephant, male African elephants, 5374000
giant African land snail, giant African land snails, 377.89
sow, sows, 280000
musket ball, musket balls, 28.731
